type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero Noir ,CA DEL BOSCO “VINTAGE COLLECTION” Dosage Zero Noir ,,BOTTLE,2010.0, 120.00,,https://www.cadelbosco.com/wp-content/files_mf/1650945175DosageZ%C3%A9roNoir2013_VintageCollection_ITA.pdf,Dosage Zero Noir Franciacorta (Vintage Collection),Ca' del Bosco,wine_01gzr4kscchayks0qd3z6vrvj3,23127.0,45.243294
SPARKLING,CA DEL BOSCO “VINTAGE COLLECTION” Saten ,CA DEL BOSCO “VINTAGE COLLECTION” Saten ,,BOTTLE,2018.0, 79.00,,https://www.cadelbosco.com/wp-content/files_mf/1650965135Sat%C3%A8n2017_VintageCollection_ITA.pdf,Vintage Collection Franciacorta Satén,Ca' del Bosco,wine_01gzr4kscctqhph2xexmv6f05f,1632534.0,41.063835
SPARKLING,CAMILLUCCI FRANCIACORTA Brut ,CAMILLUCCI FRANCIACORTA Brut ,,BOTTLE,, 39.00,,https://www.vivino.com/IT/it/camilucci-franciacorta-brut/w/6266186?bottle_count=1&gclid=CjwKCAjw_b6WBhAQEiwAp4HyINa-OOM6fwZ3PRYmmEZSfKS16DJ6dpKVbzvhwkEj7WqOqnrcMlxy-xoCpC4QAvD_BwE&istBid=t&istCompanyId=1f45d186-ba46-4ea2-9835-5874342b279a&istFeedId=49622936-1088-4832-99c0-030a939ffe0d&istItemId=pawlpqmiq&utm_campaign=PM_02_466&utm_content=IT&utm_medium=paid_search&utm_source=google,Franciacorta Brut,Camilucci,wine_01h0my5vpyam86jxpybvqrkjs6,,37.452248
SPARKLING,CAMILLUCCI FRANCIACORTA ST.13 RISERVA Brut Nature,CAMILLUCCI FRANCIACORTA ST.13 RISERVA Brut Nature,,BOTTLE,, 52.00,,https://www.camilucci.it/st/,Franciacorta Riserva Brut Nature,Camilucci,wine_01h0my5vpzcghne87qbpvyxmp2,,43.30321
SPARKLING,"UBERTI ""COMARÍ DEL SALEM"" Extra Brut","UBERTI ""COMARÍ DEL SALEM"" Extra Brut",,BOTTLE,, 69.00,,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf,Franciacorta Comarì del Salem,Uberti,wine_01gzr4kscv10cn44hem8c64kr4,2111457.0,47.01386
SPARKLING,"UBERTI ""FRANCESCO I"" Extra Brut","UBERTI ""FRANCESCO I"" Extra Brut",,BOTTLE,, 39.00,,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf,Franciacorta Francesco I Extra Brut,Uberti,wine_01gzr4kscv0q62pz4wc2cv3ebq,1402728.0,43.587147
SPARKLING,ALTEMASI Brut ,ALTEMASI Brut ,,BOTTLE,2019.0, 39.00,,https://www.tannico.it/trento-brut-doc-millesimato-2017-altemasi.html,Método Classico Brut,Altemasi,wine_01gzr4ksdb672jy83gdgne4bqr,1395619.0,32.375397
SPARKLING,BLAUWAL CUVEÉ Extra Brut ,BLAUWAL CUVEÉ Extra Brut ,,BOTTLE,, 42.00,,https://www.shop-cesconi.it/it/blauwal-cevee-extra-brut-trentino-doc-metodo-classico-cesconi-71,Blanc de Blancs Extra Brut,Brut Dargent,wine_01h4pmmghw41kxtt6zwgdpmyvm,,25.208412
SPARKLING,DER BLAUWAL Riserva Extra Brut ,DER BLAUWAL Riserva Extra Brut ,,BOTTLE,2013.0, 79.00,,https://www.shop-cesconi.it/it/blauwal-riserva-extra-brut-trento-doc-metodo-classico-cesconi-71,Blanc de Blancs Extra Brut,Brut Dargent,wine_01h4pmmghw41kxtt6zwgdpmyvm,,26.274374
SPARKLING,ETYSSA N.5 Extra Brut ,ETYSSA N.5 Extra Brut ,,BOTTLE,2016.0, 45.00,,https://www.wineilvino.it/negozio/spumanti/trento-extra-brut-cuvee-numero-5-etyssa/,Cuvée No. 5 Extra Brut,Etyssa,wine_01h4pmmfdetjx479a8vhjzcawv,,43.386124
SPARKLING,FERRARI “PERLÉ” Brut   ,FERRARI “PERLÉ” Brut   ,,BOTTLE,2016.0, 54.00,?- 2015,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Trentodoc-4.pdf,Perlé,Ferrari,wine_01gzr4ksccj35519kgnp4kw2ym,4972.0,31.402613
SPARKLING,FERRARI “PERLÉ ZERO” Cuvèe  ,FERRARI “PERLÉ ZERO” Cuvèe  ,,BOTTLE,2014.0, 99.00,? - 2010,https://www.ferraritrento.com/wp-content/uploads/2017/09/Ferrari-Perle-Zero-Cuvee-Zero14-Trentodoc.pdf,Perlé Zero,Ferrari,wine_01gzr4kscc048n1dp9m162cgxe,5827155.0,35.43027
SPARKLING,FERRARI “PERLÉ BIANCO RISERVA” Brut  ,FERRARI “PERLÉ BIANCO RISERVA” Brut  ,,BOTTLE,2015.0, 89.00,5 - 2014,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Bianco-Riserva-Trentodoc-1.pdf,Perlé Bianco Riserva,Ferrari,wine_01gzr4ksccrmvta6snft247t35,4987008.0,36.84798
SPARKLING,FERRARI “PERLÉ NERO” Brut  ,FERRARI “PERLÉ NERO” Brut  ,,BOTTLE,2013.0, 125.00,6 - 2011,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Nero-Riserva-Trentodoc-1.pdf,Perlé Nero,Ferrari,wine_01gzr4kscc2q9h2vh9dzr6ja8q,6482899.0,35.43027
SPARKLING,FERRARI “RISERVA LUNELLI” Brut  ,FERRARI “RISERVA LUNELLI” Brut  ,,BOTTLE,2015.0, 139.00,2 - 2012,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Riserva-Lunelli-Trentodoc-6.pdf,Riserva Lunelli,Ferrari,wine_01gzr4ksccy7w7sgfv1g5hhygr,89737.0,34.603695
SPARKLING,FERRARI “GIULIO FERRARI RISERVA DEL FONDATORE” Brut    ,FERRARI “GIULIO FERRARI RISERVA DEL FONDATORE” Brut    ,,BOTTLE,2009.0, 220.00,2 - 2008 | 3 - 2006,https://www.ferraritrento.com/wp-content/uploads/2016/11/Giulio-Ferrari-Riserva-del-Fondatore-Trentodoc-7.pdf,''Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452.0,75.70593
SPARKLING,MOSER “51151” Brut ,MOSER “51151” Brut ,,BOTTLE,, 38.00,,https://mosertrento.com/wp-content/uploads/2021/03/Scheda-Trentodoc-51151.pdf,"51,151 Brut",Moser,wine_01h0r2pqcxrjnkrkzhn09mp5d0,,34.64083
SPARKLING,FERRARI “PERLÉ ROSE” Brut  ,FERRARI “PERLÉ ROSE” Brut  ,,BOTTLE,2015.0, 68.00,,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Rose-Riserva-Trentodoc-2.pdf,Perlé Rosé,Ferrari,wine_01gzr4ksccxkqxryxhnb6gavgx,1740591.0,32.686108
SPARKLING,"KETTMEIR """" Riserva Extra Brut 2015","KETTMEIR """" Riserva Extra Brut 2015",,BOTTLE,1919.0, 65.00,,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_1919_Extra_Brut_ITA.pdf,1919 Riserva Extra Brut,Kettmeir,wine_01h0qzm23saw4dnhp09jsgxv7q,,37.182518
SPARKLING,"KETTMEIR ""ATHESIS"" Brut ","KETTMEIR ""ATHESIS"" Brut ",,BOTTLE,2017.0, 39.00,,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_Brut_Athesis_ITA.pdf,Athesis Brut,Kettmeir,wine_01h0qzm23rs8gaa77kqcm4f89w,,42.967926
SPARKLING,SAN LEONARDO BLANC DE BLANC G. Gonzaga Vigneti delle Dolomiti IGT ,SAN LEONARDO BLANC DE BLANC G. Gonzaga Vigneti delle Dolomiti IGT ,,BOTTLE,2017.0, 39.00,,https://www.sanleonardo.it/vini/spumante/spumante.pdf,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,45.50822
SPARKLING,HARTMANN DONÀ Blanc de Rouge Extra brut,HARTMANN DONÀ Blanc de Rouge Extra brut,,BOTTLE,, 46.00,,https://enotecaterruli.it/prodotto/blanc-de-rouge-extra-brut-hartmann-dona/,Blanc de Rouge Extra Brut,Hartmann Donà,wine_01h0qzm1v5yew8p9yawed15xyw,,47.319794
SPARKLING,MAT'55 Extra Brut Pian delle Vette Vigneti Delle Dolomiti IGT ,MAT'55 Extra Brut Pian delle Vette Vigneti Delle Dolomiti IGT ,,BOTTLE,2012.0, 49.00,,https://shop.piandellevette.it/shop/prod/mat-55-0-75cl-millesimato-2012-328,Matt 55 Metodo Classico,Pian Delle Vette,wine_01gzr4ksjs0gnpjetky8shmg91,5251846.0,66.32358
SPARKLING,POJER & SANDRI Brut Rosè,POJER & SANDRI Brut Rosè,,BOTTLE,, 45.00,,https://www.pojeresandri.com/wp-content/uploads/2019/09/Brut-Rose.pdf?x45718,Brut Rosé,Pojer e Sandri,wine_01gzr4ksehb4w40vf68pxz2wak,2034180.0,38.309242
SPARKLING,POJER & SANDRI Extra Brut Cuvee 17-18,POJER & SANDRI Extra Brut Cuvee 17-18,,BOTTLE,, 55.00,,https://www.pojeresandri.com/wp-content/uploads/2019/09/Cuvee-Extra-Brut.pdf?x45718,Cuveé Extra Brut,Pojer e Sandri,wine_01gzr4ksehpx5s6jm1wp9meqrm,2391642.0,42.469143
SPARKLING,POJER & SANDRI “ZERO INFINITO” ,POJER & SANDRI “ZERO INFINITO” ,,BOTTLE,, 35.00,,https://www.pojeresandri.com/wp-content/uploads/2019/09/Zero-Infinito.pdf?x45718,Zero Infinito,Pojer e Sandri,wine_01gzr4ksehy4wftxc3709gvxsk,2316643.0,49.161003
SPARKLING,"LIS NERIS ""DOM JUROSA"" Brut","LIS NERIS ""DOM JUROSA"" Brut",,BOTTLE,, 42.00,,https://shop.lisneris.it/it/home/30-dom-jurosa-brut,Dom Jurosa Blanc De Blancs Brut,Lis Neris,wine_01h0r2pp9v5285qa22z3pz3dfh,,40.879665
SPARKLING,ROSA BOSCO Brut Blanc de Blanc ,ROSA BOSCO Brut Blanc de Blanc ,,BOTTLE,, 45.00,,https://depuppi.it/wp-content/uploads/2020/06/005-SchedeVino-ITA-GIU20-RosaBosco-BlancDeBlanc.pdf,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
SPARKLING,VILLA PARENS Extra Brut Blanc de Blanc ,VILLA PARENS Extra Brut Blanc de Blanc ,,BOTTLE,, 35.00,,https://www.cucinaevini.it/sparkle/blanc-de-blancs-extra-brut/,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
SPARKLING,DECUGNANO DEI BARBI Dosaggio Zero Millesimato  ,DECUGNANO DEI BARBI Dosaggio Zero Millesimato  ,,BOTTLE,2017.0, 39.00,"50% Chardonnay, 50% Pinot Nero",https://www.decugnanodeibarbi.com/wp-content/uploads/METODO-CLASSICO-SCHEDA.pdf,Dosaggio Zero Metodo Classico,Decugnano dei Barbi,wine_01h0qsxnx5rgth7t6yqxzpe6nb,,52.740364
SPARKLING,SCHLOSS REINHARTSHAUSEN Rheingau Riesling Brut ,SCHLOSS REINHARTSHAUSEN Rheingau Riesling Brut ,,BOTTLE,, 36.00,,https://www.scalo17.it/prodotto/schloss-reinhartshausen-rheingau-riesling-brut-metodo-classico/,Riesling Sekt Brut,Schloss Reinhartshausen,wine_01h4pmmh544qb1zmts9s1znn12,,40.69446
SPARKLING,VEUVE AMBAL CREMANT DE BOURGOGNE Grand Cuvée Brut ,VEUVE AMBAL CREMANT DE BOURGOGNE Grand Cuvée Brut ,,BOTTLE,, 36.00,"Chardonnay, Pinot Nero, Aligotè, Gamè",https://www.wineexpert.it/it/prodotto/Cremant-de-%20Bourgogne-Gran-cuvee-Brut-Veuve-%20Ambal.aspx,Cuvée Marie Ambal Crémant de Bourgogne,Veuve Ambal,wine_01gzr4ks5wfx390r80n6qp60pz,1583156.0,51.999104
SPARKLING,AUBRY FYLS Brut 1° Cru ,AUBRY FYLS Brut 1° Cru ,,BOTTLE,, 80.00,,https://www.callmewine.com/champagne-aubry-P6768.htm,Aubry de Humbert Champagne 1er Cru,Aubry,wine_01h4pmmgg3agcap38f1w7v37wc,,37.796165
SPARKLING,AUBRY FYLS Rosè Sablè  ,AUBRY FYLS Rosè Sablè  ,,BOTTLE,2008.0, 120.00,,https://www.callmewine.com/champagne-aubry-rose-P6767.htm,Sable Rosé Brut,Aubry,wine_01h4pmmgg36ppcppnjjh2chgjd,,37.001495
SPARKLING,BILLECART SALMON Brut Reserve,BILLECART SALMON Brut Reserve,,BOTTLE,, 80.00,,https://www.tannico.it/champagne-brut-reserve-billecart-salmon.html,Les Rendez-Vous de Billecart-Salmon No 1 Meunier Extra Brut Champagne,Billecart-Salmon,wine_01gzr4ks647t0v6fdnbct0gb2x,8752032.0,49.212746
SPARKLING,BILLECART SALMON Blanc de Blancs,BILLECART SALMON Blanc de Blancs,,BOTTLE,, 130.00,,https://www.vinatis.it/44237-champagne-billecart-salmon-grand-cru-blanc-de-blancs,Blanc de Blancs Brut Champagne,Billecart-Salmon,wine_01gzr4ks6416ctefvem90vkjd9,7711844.0,49.752037
SPARKLING,BOLLINGER “SPECIAL CUVEE” Brut ,BOLLINGER “SPECIAL CUVEE” Brut ,,BOTTLE,, 120.00,,https://www.tannico.it/champagne-brut-special-cuvee-bollinger.html,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929.0,35.815838
SPARKLING,BOLLINGER “LA GRANDE ANNEE” Brut ,BOLLINGER “LA GRANDE ANNEE” Brut ,,BOTTLE,2014.0, 300.00,,https://www.tannico.it/champagne-brut-la-grande-annee-2014-bollinger.html?utm_source=aw-it-categories-brand-wine-dsa&utm_medium=cpc&utm_campaign=aw-it-categories-brand-wine-dsa&nol=true&ep=true&gclid=CjwKCAjw_b6WBhAQEiwAp4HyIKqM_AGJuwBpIs4Ob2-CK8k6dMf9cS271UVSXGviPLiIzUIwxT9hrhoC3lcQAvD_BwE,La Grande Année Brut Champagne,Bollinger,wine_01gzr4ks6y229v3p9003jmyzy6,18931.0,39.954197
SPARKLING,BOLLINGER “R.D.” Extra Brut  ,BOLLINGER “R.D.” Extra Brut  ,,BOTTLE,2004.0, 360.00,,https://www.tannico.it/champagne-extra-brut-r-d-2004-bollinger-astuccio.html,R.D Extra Brut Champagne (Récemment Dégorgé),Bollinger,wine_01gzr4ks77ynfxxqrnkg6ddmwp,1164702.0,34.796078
SPARKLING,BRUNO PAILLARD Extra Brut Première Cuvée,BRUNO PAILLARD Extra Brut Première Cuvée,,BOTTLE,, 99.00,,https://www.tannico.it/champagne-premiere-cuvee-extra-brut-bruno-paillard.html,Première Cuvée Extra Brut Champagne,Bruno Paillard,wine_01gzr4ks5h4zp749zmdayb3sac,1245747.0,42.35115
SPARKLING,BRUNO PAILLARD Extra Brut Blanc de Blanc Grand Cru  ,BRUNO PAILLARD Extra Brut Blanc de Blanc Grand Cru  ,,BOTTLE,, 140.00,,https://www.tannico.it/champagne-blanc-de-blancs-extra-brut-grand-cru-bruno-paillard.html,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
SPARKLING,DELAMOTTE Brut,DELAMOTTE Brut,,BOTTLE,, 99.00,,https://www.callmewine.com/champagne-brut-delamotte-P31238.htm,Sélectionné Pour Hiramatsu Brut Champagne,Delamotte,wine_01gzr4ks6dx1xqjerzkcn7s36y,7547671.0,30.963364
SPARKLING,DELAMOTTE Brut Blanc de Blanc ,DELAMOTTE Brut Blanc de Blanc ,,BOTTLE,, 140.00,,https://www.millesima.it/champagne-delamotte-blanc-de-blancs-0000.html,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
SPARKLING,DOM PERIGNON Brut Vintage Millesimè   ,DOM PERIGNON Brut Vintage Millesimè   ,,BOTTLE,2008.0, 390.00,,https://www.callmewine.com/dom-perignon-2008-P17019.htm,Brut Champagne,Dom Pérignon,wine_01gzr4ksd1q5hvwrcr5dxtbzer,86684.0,36.83926
SPARKLING,DOM PERIGNON Brut Vintage Millesimè ,DOM PERIGNON Brut Vintage Millesimè ,,BOTTLE,2010.0, 390.00,,https://www.enosearcher.it/bottiglia/dom-perignon-champagne-aoc-vintage-brut-millesimato-2010/,Brut Champagne,Dom Pérignon,wine_01gzr4ksd1q5hvwrcr5dxtbzer,86684.0,36.83926
SPARKLING,DOM PERIGNON “P2” Brut Vintage ,DOM PERIGNON “P2” Brut Vintage ,,BOTTLE,2003.0, 630.00,,https://www.callmewine.com/champagne-p2-dom-perignon-2003-P32524.htm,P2 Plénitude Brut Champagne,Dom Pérignon,wine_01gzr4ksd7kxm1ztzqza3vfezb,3102815.0,46.6787
SPARKLING,JAQUESSON “CUVÉE  N° 745” Brut  ,JAQUESSON “CUVÉE  N° 745” Brut  ,,BOTTLE,, 110.00,5 - N° 744 ,https://www.tannico.it/champagne-extra-brut-cuvee-n-745-jacquesson.html,Cuvée No 745 Extra Brut Champagne,Jacquesson,wine_01h4pmmfcvbrfk9sa5g54hvhxb,,35.767937
SPARKLING,"JAQUESSON “DIZY"" T. ROUGES   ","JAQUESSON “DIZY"" T. ROUGES   ",,BOTTLE,2013.0, 250.00,3 - 2012,https://babo.wine/it/champagne/jacquesson-dizy-terres-rouges-2013-extra-brut-p172824,Dizy Champagne,Jacquesson,wine_01havwedsmwdhw3sc5rgnhjp2v,,37.26355
SPARKLING,KRUG Grande Cuvèe Brut Vertical Edition 167° - 168° - 169° - 170°,KRUG Grande Cuvèe Brut Vertical Edition 167° - 168° - 169° - 170°,,BOTTLE,, 380.00,,,Grande Cuvée,Krug,wine_01gzr4ks7h5x1nhhc1jnbgbg29,7122486.0,29.402134
SPARKLING,KRUG Grande Cuvèe Brut Vertical Edition 170°,KRUG Grande Cuvèe Brut Vertical Edition 170°,,BOTTLE,, 380.00,,https://www.enosearcher.it/bottiglia/krug-champagne-aoc-grande-cuvee-170eme-edition/,Grande Cuvée,Krug,wine_01gzr4ks7h5x1nhhc1jnbgbg29,7122486.0,29.402134
SPARKLING,LAURENT PERRIER “LA CUVÉE” Brut ,LAURENT PERRIER “LA CUVÉE” Brut ,,BOTTLE,, 80.00,,https://www.tannico.it/champagne-brut-la-cuvee-laurent-perrier.html,La Cuvée Brut Champagne,Laurent-Perrier,wine_01gzr4ks5hsmde1f5vkm7fzt85,5552281.0,41.47402
SPARKLING,LAURENT PERRIER “CUVÉE ROSÈE” Brut ,LAURENT PERRIER “CUVÉE ROSÈE” Brut ,,BOTTLE,, 140.00,,https://www.tannico.it/champagne-brut-cuvee-rose-laurent-perrier.html,Cuvée Extra Brut Champagne,Laurent-Perrier,wine_01gzr4ks5hp4606ztvg3mv55wf,2597772.0,38.3543
SPARKLING,"LAURENT PERRIER ""ULTRA BRUT"" Nature","LAURENT PERRIER ""ULTRA BRUT"" Nature",,BOTTLE,, 115.00,,https://www.tannico.it/champagne-brut-nature-ultra-brut-laurent-perrier.html,Ultra Brut Champagne (Brut Nature),Laurent-Perrier,wine_01gzr4ks5hppdh0jyxzez21y5r,1179551.0,47.938923
SPARKLING,LAURENT PERRIER “MILLÉSIMÉ ” Brut ,LAURENT PERRIER “MILLÉSIMÉ ” Brut ,,BOTTLE,2008.0, 115.00,,https://www.tannico.it/champagne-brut-millesime-2008-laurent-perrier.html,Brut Millésimé Champagne,Laurent-Perrier,wine_01gzr4ks5h7z6yfdmcpd6fmyrq,1657892.0,42.793453
SPARKLING,"LOUIS ROEDERER ""COLLECTION 244"" Brut   ","LOUIS ROEDERER ""COLLECTION 244"" Brut   ",,BOTTLE,, 115.00,9 - 243 | 8 - 242,https://www.tannico.it/champagne-brut-aoc-collection-243-louis-roederer.html?_gl=1*1b3gepl*_up*MQ..&gclid=Cj0KCQjwyt-ZBhCNARIsAKH1174FKAG97IJz0uUG5y2hBXofwTjmsfNpLZ3y1sw8BAQqVWB1Neg9vZwaAtKfEALw_wcB,Collection 244 Champagne,Louis Roederer,wine_01gzr4ks5t3r3m2xqxvqrmzvgc,11451224.0,47.202633
SPARKLING,"LOUIS ROEDERER ""CRISTAL"" Brut Millèsime ","LOUIS ROEDERER ""CRISTAL"" Brut Millèsime ",,BOTTLE,2014.0, 470.00,,https://www.tannico.it/champagne-cristal-2014-louis-roederer-cofanetto.html,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,74304.0,48.393265
SPARKLING,MANDOIS “CUVEE VICTOR” Brut Blanc de Blanc ,MANDOIS “CUVEE VICTOR” Brut Blanc de Blanc ,,BOTTLE,2012.0, 99.00,,https://www.vivino.com/US/it/mandois-cuvee-victor-mandois-vieilles-vignes-brut-champagne/w/1397876,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
SPARKLING,"PERRIER JOUËT ""BELLE EPOQUE""   Brut","PERRIER JOUËT ""BELLE EPOQUE""   Brut",,BOTTLE,2013.0, 310.00,Chardonnay 50% Pinot Nero 45% Pinot Meunier 5%,https://www.callmewine.com/champagne-bell-epoque-perrier-jouet-2013-P30269.htm,Belle Epoque Brut Champagne,Perrier-Jouët,wine_01gzr4ksd4ahar44dg95zgrg4g,79162.0,58.325394
SPARKLING,POL ROGER Brut Reserve ,POL ROGER Brut Reserve ,,BOTTLE,, 85.00,,https://www.tannico.it/champagne-brut-reserve-pol-roger-25038.html,Réserve Brut Champagne,Pol Roger,wine_01gzr4kscbtrxfra499jsfa2z0,1884610.0,39.343834
SPARKLING,POL ROGER Blanc de Blancs Vintage ,POL ROGER Blanc de Blancs Vintage ,,BOTTLE,2013.0, 155.00,,https://www.tannico.it/champagne-brut-blanc-de-blancs-vintage-2013-pol-roger-astuccio.html,Blanc de Blancs Mousseux Brut,Pol Blanc,wine_01havwedv1y8tnv9xjj770xhqj,,57.983253
SPARKLING,POL ROGER SIR WINSTON CHURCHILL ,POL ROGER SIR WINSTON CHURCHILL ,,BOTTLE,2013.0, 430.00,,https://www.tannico.it/champagne-brut-sir-winston-churchill-2012-pol-roger-astuccio.html,Sir Winston Churchill Brut Champagne,Pol Roger,wine_01gzr4kscbzga5159ds831sygw,1692390.0,55.24263
SPARKLING,PHILIPPONNAT “ROYALE RESERVE” Brut  ,PHILIPPONNAT “ROYALE RESERVE” Brut  ,,BOTTLE,, 85.00,Pinot Nero 65% Chardonnay 30% Pinot moniet 5%,https://www.tannico.it/champagne-brut-royale-reserve-philipponnat-24351.html,Royale Réserve Brut Champagne,Philipponnat,wine_01gzr4ks63nx7n95vw12dcynhy,83817.0,37.648254
SPARKLING,PHILIPPONNAT “ROYALE RESERVE” NON DOSÉ Brut  ,PHILIPPONNAT “ROYALE RESERVE” NON DOSÉ Brut  ,,BOTTLE,, 90.00,Pinot Nero 50% Chardonnay 30% Pinot moniet 20%,https://www.tannico.it/champagne-non-dose-royale-reserve-philipponnat.html,Royale Réserve Non Dosé Champagne,Philipponnat,wine_01gzr4ks63dw1mz9w5ezwc97av,1252845.0,41.881786
SPARKLING,"PHILIPPONNAT ""GRAND BLANC"" Blanc de Blanc Extra Brut  ","PHILIPPONNAT ""GRAND BLANC"" Blanc de Blanc Extra Brut  ",,BOTTLE,2011.0, 150.00,100% chardonnay,https://www.bernabei.it/grand-blanc-extra-brut-philipponnat-75-cl,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,68.504326
