storage_area,TYPE,name,information,dosage,,winery_name,vintage,purchase_price,quantity,other vintages,visible,unclear,sales_price,glass_price,internal_notes,,
626,RED,Cabernet Riserva Sass Roa,,,,Laimburg,2019,15.9,1,"2020-1 2021-2 17,5",1,x,54,8,300m.ü.M. Ausbau, 20 Monate im EichenHolz,
627,RED,Cabernet Riserva Pfarrhof ,,,"95% Cabernet Sauvignon, 5% Merlot",Kellerei Kaltern,2013,22,1,quintessenz 2017-4 ,1,x,72,11,"Gärung; Maischgärung im Holzbottich, 4 wöchige Mazeration, BSA. Ausbau;  18 Monate im Barrique 50%neu. Leichte Filtration",,
647,RED,Cabernet Riserva Staves ,,,Cabernet Sauvgnon,Kornellhof,2011,17,1,staffes 2020-2 ,1,x,57,9,"270-320m.ü.M. Gärung; im Holzbottich mit Maischekontakt für 12 Tage. Ausbau; BSA, 20 Monate in Barrique",,
648,RED,Cabernet Riserva Staves ,,,Cabernet sauvignon,Kornellhof,2007,14.2,0,aus,1,x,49,8,"270-320m.ü.M. Gärung; im Holzbottich mit Maischekontakt für 12 Tage. Ausbau; BSA, 20 Monate in Barrique",,
655,RED,Cabernet Sauvignon Riserva,,,,Griesbauer,2016,20.9,1,"Marmot- 1  Marmot20-1 (20,9)",1,x,69,11,,,
721,RED,Amistar Rot ,,,"lagrein, merlot, cabernet s., 5%cabernet f.,5%petit verdot",Peter Sölva & Söhne,2021,19.95,1,2022-2 (26),1,x,66,10,"ca. 10% Trockenbeeren ( am Stock getrocknet). 250-450m.ü.M. Unterschiedliche Erntezeitpunkte. Gärung; traditionelle Maischegärung im Edelstahltank. Ausbau; BSA, in Barrique 1/3neu für 1 Jahr.",,
784,RED,Valtellina superiore Riserva,,,,M.P.,2012,22.8,1,2015-2 nicht gelistet,1,x,74,12,,,
885,RED,Ornellaia ,,,"52% Cabernet sauvignon, 22% Merlot, 21% Cabernet f., 5% Petit verdot",Tenuta Ornellaia,2012,245,1,"2018-1 (157,7)",1,x,430,71,"18 Monate in Barrique mit BSA (70% neu, 30% zweitgebrauch). Assemlage nach den ersten 12 Monaten. 12 Monate Flaschenlagerung.",,
966,RED,Sperss,,,,Angelo Gaja,2008,266.95,1,2019-1 (429),1,x,590,98,"Handlese. Gärung; im Rotortank auf der Schale für 10-12 Tage Barbera, 12-14 Tage Nebbiolo. Ausbau; 16-18 Monate in neuen franz. Barrique.",,
1065,RED,Echézeaux Grand Cru,,,,Jean-Marc Millot,2016,128,2,2020-2 (euro 175),1,x,282,46,"BIO. Alles Handarbeit, er benutzt keine Maschienen, weder für die Ernte noch fürs Pressen, auch die Abfüllung und verkorkung. Weine werden in Eichenfässern ausgebaut mit BSA. Jean-Marc hat die Domaine 1997 nach langjährigem Familienstreit übernommen.",,
1102,RED,Merlot Siebeneich ,,,,Schreckbichl Colterenzio,2018,8.75,0,"2020-1 2021-2 (10,3)",1,x,35,5,"Gärung; Edelstahl. Ausbau; 18 Monate teils Barrique, teils grosses Holzfass.",,
1117,RED,Vino Nobile di Montepulciano,,,Sangiovese,Podere Boscarelli,2015,10.8,1,"2020-2 (1,20)",1,x,42,7,BSA.,,
1164,,Comtess St. Valentin ,,,Gewürztraminer ,St. Michael Eppan,2017,19,1,"2022-2 (23,1)",1,x,63,10,"2014 =  Rebalter 20 Jahre. 600m.ü.M. Lese Mitte Dezember. Eingetrocknete Trauben werden abgepresst, teils im Stahltank teils im kleinen Holz vergoren und Ausgebaut.",,
1165,,Passito ,,,petit manseng,Bergkellerei ,2019,19,0,aus???,1,x,63,10,,,
1176,,Quintessenz Moscato Giallo Passito  ,,,Goldenmuskateller,Kellerei Kaltern,2018,25,0,"2019-7 28,4 euro",1,x,81,13,Rebalter: 20 Jahre. Trauben werden für 5 Monate getrocknet. Gärung und Ausbau für 24 Monate auf der Feinhefe im Tonneau.,,
1177,,Lagrein passito,,,,Kiemberger,2013,40,0,2xpaul18,1,x,84,14,,,
1210,,Transylvnian Ice Wine,,,,,2015,,0,aus???,1,x,7,1,,,
1212,,Kracher NO.7 15 Years Later,,,,,2001,46.9,0,aus???,1,x,103,17,,,
1233,,Alternativa bianco,,,pinot grigio ,Princess,,5.2,5,holen,1,x,25,,,,
