ok,external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,wine_id,matched_type,matched_name,matched_winery_name,score
True,101,WHITE,Weissburgunder Schulthauser,Kellerei St. Michael Eppan,,BOTTLE,2023,3900,980,1,101,Glas Preis: 6.0,False,wine_01gzr4kskqhvbre4ann8ryaw6c,WHITE,Pinot Bianco Schulthauser,St. Michael-Eppan,47.169613
True,1011,RED,Terra di Lavoro,Galardi,,BOTTLE,2009,9700,3510,3,1011,Glas Preis: 16.0400m.ü.M. Gärung,True,wine_01gzr4kspqm11p59g3eh031w9b,RED,Terra di Lavoro,Galardi,50.139225
True,1016,RED,"""Jo"" Negroamaro Salento",Gianfranco Fino,,BOTTLE,2012,9300,3365,2,1016,"Glas Preis: 15.0Handlese. Gärung; im Stahltank. Mazeration für 3-4 Wochen. Ausbau; 12 Monate in franz. EichenBarrique 50%neu, mit täglicher Batonnage. 6 Monate Flaschenlagerun. Keine schönug, filtration",True,wine_01gzr4kthbgarrg0k1c68vct6c,RED,Negroamaro Jo,Gianfranco Fino,53.43656
True,1018,RED,Selvarosso Riserva Salice Salentino,Cantine due Palme,,BOTTLE,2010,4800,1386,1,1018,Glas Preis: 7.0Handlese. Gärung,True,wine_01h0my5tp3qrw2wdhpnxargndk,RED,Selvarossa Salice Salentino,Cantine due Palme,54.809708
True,1019,RED,Il Falcone Riserva,Tenuta Rivera,,BOTTLE,2007,4400,1140,2,1019,"Glas Preis: 7.0400m.ü.M. Gärung; 15 Tage mit Umwälzen. Ausbau; 14 Monate 50% in franz.Eichen Barrique, 50% im grossenEichenHolz. 1 Jahr Flaschenlagerung.",True,wine_01h0my5rma3jmv4dx9sh6dazcy,RED,Il Falcone Riserva Castel del Monte,Rivera,32.719112
True,1024,RED,La Firma,Cantine del Notaio,,BOTTLE,2010,8300,2570,1,1024,"Glas Preis: 13.0Handlese. Gärung; Mazeration 20 Tage. Ausbau; 12 Moante in Holz unf Tonneau, (in einer Grotte von Fulkangestein). 1 Jahr Flaschenlagerung.",True,wine_01gzr4kt1r8xe8a4xh0890qxk8,RED,La Firma Aglianico del Vulture,Cantine del Notaio,44.937325
True,1024,RED,La Firma,Cantine del Notaio,,BOTTLE,2011,8300,2570,1,1024,"Glas Preis: 13.0Handlese. Gärung; Mazeration 20 Tage. Ausbau; 12 Moante in Holz unf Tonneau, (in einer Grotte von Fulkangestein). 1 Jahr Flaschenlagerung.",False,wine_01gzr4kt1r8xe8a4xh0890qxk8,RED,La Firma Aglianico del Vulture,Cantine del Notaio,44.937317
True,103,WHITE,Weissburgunder Longorei,Pfitscher,,BOTTLE,2022,3800,960,3,103,Glas Preis: 6.0,True,wine_01havwefhkzanstyfs0csh5s5x,WHITE,Pinot Bianco Longarei,Pfitscher,38.330116
True,1034,RED,Rocca Rubia Riserva,Santadi,,BOTTLE,2020,4900,1440,2,1034,Glas Preis: 8.010-12 Monate in Barrique. Einige Monate Flaschenlagerung.,True,wine_01gzr4ktjmcfzn05yx5t4mn8c7,RED,Carignano del Sulcis Riserva Rocca Rubia,Santadi,42.876686
True,1035,RED,Barrua - Isola die Nuraghi,Agricola Punica,,BOTTLE,2010,8800,2750,2,1035,Glas Preis: 14.0Handlese. Gärung,True,wine_01h0my5reg37pfyvh4e6yyntbk,RED,Barrua,Punica,46.305946
True,1036,RED,Turriga,Argiolas,,BOTTLE,2010,16600,7523,1,1036,Glas Preis: 27.0230m.ü.M. Handlese. Gärung,True,wine_01gzr4ksrwyrtxrwcmh0h2ma30,RED,Turriga Isola dei Nuraghi,Argiolas,33.69958
True,1036,RED,Turriga,Argiolas,,BOTTLE,2019,16600,7523,1,1036,Glas Preis: 27.0230m.ü.M. Handlese. Gärung,False,wine_01gzr4ksrwyrtxrwcmh0h2ma30,RED,Turriga Isola dei Nuraghi,Argiolas,33.699577
True,1037,RED,Terre Brune Carignano del Sulcis Superiore,Santadi,,BOTTLE,2009,10000,3640,1,1037,Glas Preis: 16.0Handlese. Gärung,True,wine_01gzr4ksd5hs1kypzwwahstsxb,RED,Terre Brune Superiore Carignano del Sulcis,Santadi,58.44975
True,1037,RED,Terre Brune Carignano del Sulcis Superiore,Santadi,,BOTTLE,2019,10000,3640,2,1037,Glas Preis: 16.0Handlese. Gärung,False,wine_01gzr4ksd5hs1kypzwwahstsxb,RED,Terre Brune Superiore Carignano del Sulcis,Santadi,58.449738
True,104,WHITE,Weissburgunder Barthenau,Hofstätter,,BOTTLE,2020,7100,2170,3,104,Glas Preis: 11.0,True,wine_01gzr4ksp4d3nw7axdybpr0mmp,DESSERT,Barthenau Grappa,J. Hofstätter,32.039143
True,1042,RED,Noá,Cusumano,,BOTTLE,2016,6700,2020,2,1042,Glas Preis: 11.0Handlese. Gärung,True,wine_01gzr4ksd7fxcscrfwj1kqqqsr,RED,Noà (Tenuta Presti e Pregni),Cusumano,33.932724
True,1043,RED,Tancredi,Donnafugata,,BOTTLE,2008,5900,1750,1,1043,"Glas Preis: 9.0200-600m.ü.M. Gärung; Fermentation im Stahl mit Mazeration auf der Schale für 12 Tage. Ausbau; mit BSA, 14 Monate in franz.Barrique und Tonneau (neu und zweite Belegung). 24 Moante Flaschenlagerung.",True,wine_01h0qzm03hsc3eddz9gjeye772,RED,Tancredi,Donnafugata,43.80351
True,1043,RED,Tancredi,Donnafugata,,BOTTLE,2013,5900,1750,1,1043,"Glas Preis: 9.0200-600m.ü.M. Gärung; Fermentation im Stahl mit Mazeration auf der Schale für 12 Tage. Ausbau; mit BSA, 14 Monate in franz.Barrique und Tonneau (neu und zweite Belegung). 24 Moante Flaschenlagerung.",False,wine_01h0qzm03hsc3eddz9gjeye772,RED,Tancredi,Donnafugata,43.8035
True,1043,RED,Tancredi,Donnafugata,,BOTTLE,2009,5900,1750,1,1043,"Glas Preis: 9.0200-600m.ü.M. Gärung; Fermentation im Stahl mit Mazeration auf der Schale für 12 Tage. Ausbau; mit BSA, 14 Monate in franz.Barrique und Tonneau (neu und zweite Belegung). 24 Moante Flaschenlagerung.",False,wine_01h0qzm03hsc3eddz9gjeye772,RED,Tancredi,Donnafugata,43.8035
True,1044,RED,Camelot,Firriato,,BOTTLE,2010,5900,1755,2,1044,Glas Preis: 9.0235m.ü.M. Handlese. Gärung,True,wine_01h0qzm14q48km758y8p4dxtzb,RED,Camelot,Firriato,40.292973
True,1045,RED,Don Antonio,Morgante,,BOTTLE,2010,5600,1663,3,1045,"Glas Preis: 9.0450-550 m.ü.M. Gärung; im Stahl, Mazeration auf der Schale für 20 Tage. BSA im Stahl. Ausbau; 12 Monate in neuen franz. Barrique 225l, 12 Monate Flaschenlagerung.",True,wine_01h0my5rk1mkpk8a85pajw83tb,RED,Don Antonio Nero d'Avola (Riserva),Morgante,43.149426
True,1046,RED,Mille e una Notte,Donnafugata,,BOTTLE,2018,11900,4310,1,1046,"Glas Preis: 19.0200-600m.ü.M. Gärung; im Stahl, Mazeration auf der Schale für 12 Tage. Ausbau; 15-16 Monate in neuen franz. Barrique. 30 Monate Flaschenlagerung.",True,wine_01gzr4kt5xwn0938js30zqnvse,RED,Mille E Una Notte,Donnafugata,55.822723
True,1046,RED,Mille e una Notte,Donnafugata,,BOTTLE,2019,11900,4310,1,1046,"Glas Preis: 19.0200-600m.ü.M. Gärung; im Stahl, Mazeration auf der Schale für 12 Tage. Ausbau; 15-16 Monate in neuen franz. Barrique. 30 Monate Flaschenlagerung.",False,wine_01gzr4kt5xwn0938js30zqnvse,RED,Mille E Una Notte,Donnafugata,55.82271
True,1047,RED,Cabernet Sauvignon Burdese,Planeta,,BOTTLE,2013,5300,1550,1,1047,Glas Preis: 8.0Gärung,True,wine_01gzr4kssapwrxcn16321rp8r5,RED,Burdese,Planeta,41.784603
True,105,WHITE,Vinschgau Weissburgunder,Castel Juval,,BOTTLE,2021,4500,1170,5,105,Glas Preis: 7.0,True,wine_01h0qsxmvwqr688kdaa3bvcsdz,WHITE,Weissburgunder,Weingut Unterortl - Castel Juval,30.60162
True,1050,RED,Rosso Etna,Le Vigne di Eli,,BOTTLE,2014,4100,1030,3,1050,Glas Preis: 6.0,True,wine_01gzr4kt5j7ae439gr0k94h3hw,RED,Etna Rosso,Azienda Agricola Le Vigne di Eli,35.944363
True,1052,RED,Karasi,Zorah Wines,,BOTTLE,2014,5100,1490,8,1052,"Glas Preis: 8.01400m.ü.M. Gärung; im Stahl. Ausbau;12 Monate in Amphoren, einige davon Vergraben in der Erde. 6 Monate Flaschenlagerung( Karas = Name der Amphoren)",True,wine_01h0sq47k4k8c8w0efx2bmpwcq,RED,Karasì,Zorah,44.505157
True,1053,RED,Tinto Valbuena 5° anno,vega Sicilia,,BOTTLE,2009,21800,9900,0,1053,Glas Preis: 36.0,False,wine_01gzr4ksd14wapcjc1yn95m68s,RED,Valbuena 3°,Vega Sicilia,49.58676
True,1054,RED,Priorat Aguilera,L'infernal,,BOTTLE,2014,16500,0,1,1054,Glas Preis: 27.0,True,wine_01gzr4kt58dn9hd4fgqmz7qc8w,RED,Viñas Viejas Aguilera,l'Infernal Combier Fischer Gerin,28.957396
True,1055,RED,Herdia Tondonia tinto reserva,Vina tondonia,,BOTTLE,2009,7800,2850,4,1055,Glas Preis: 13.0,True,wine_01gzr4ksd21wx2n5j628xeere3,RED,Tinto,Vila Vita,24.28962
True,1056,RED,"Bourgogne ""Cuvée Gravel""",C&C Maréchal,,BOTTLE,2016,7500,2290,6,1056,Glas Preis: 12.0Handlese. Gärung,True,wine_01h0my5swewp03x187mcag78xc,RED,Bourgogne Passetoutgrain,Marechal,30.585884
True,1056,RED,"Bourgogne ""Cuvée Gravel""",C&C Maréchal,,BOTTLE,2017,7500,2290,6,1056,Glas Preis: 12.0Handlese. Gärung,False,wine_01h0my5swewp03x187mcag78xc,RED,Bourgogne Passetoutgrain,Marechal,30.585878
True,1058,RED,"Gevrey Chambertin ""Les Crais""",Pièrre Naigeon,,BOTTLE,2020,14300,6500,6,1058,Glas Preis: 23.0Handlese. Natürliche Fermentation. Für 16-18 Monate im Barrique ausgebaut.,True,wine_01hcw4dg7cenmzva7t004wyyjq,RED,Vieilles Vignes Gevrey-Chambertin 'Les Crais',Pierre Naigeon,48.026176
True,1059,RED,Vosne Romanée,Jean-Marc Millot,,BOTTLE,2020,15400,7000,1,1059,Glas Preis: 25.0,True,wine_01h0qzm1axzh89bph0caea4zhx,RED,Vosne-Romanée,Jean-Marc Millot,52.013012
True,1060,RED,Clos de la Roche Grand Cru,Louis Remy,,BOTTLE,2006,29500,12500,0,1060,Glas Preis: 49.0,False,wine_01h0qzm2hv4783m6ss6xm9rbqg,RED,Clos de la Roche Grand Cru,Domaine Louis Remy,42.527653
True,1061,RED,"Amiot Servelle Chambolle Musigny 1er Cru ""Les Amoureuses""",,,BOTTLE,2019,59400,27000,2,1061,Glas Preis: 99.0,True,wine_01hcw4df77nzjh13qw40a3jdy7,RED,Chambolle-Musigny Premier Cru 'Les Amoureuses',Amiot-Servelle,64.901436
True,1062,RED,Clos de la Roche Grand Cru,Louis Remy,,BOTTLE,2013,27500,12500,0,1062,Glas Preis: 45.0240-280m.ü.M. Familienunternehmen seit ca. 1820.,False,wine_01h0qzm2hv4783m6ss6xm9rbqg,RED,Clos de la Roche Grand Cru,Domaine Louis Remy,42.527653
True,1063,RED,"Amiot Servelle Chambolle Musigny 1er Cru ""Les Charmes""",Amiot Servelle,,BOTTLE,2020,19600,8900,3,1063,Glas Preis: 32.0BIO. 18 Moante in franz. Eichenfässern (30%neu),True,wine_01hcw4df5pbhj14zdvhv90p56p,RED,Chambolle-Musigny Premier Cru 'Les Charmes',Amiot-Servelle,63.023907
True,1066,RED,Chambolle-Musigny,Amiot Servelle,,BOTTLE,2021,13200,6000,2,1066,"Glas Preis: 22.0BIO. Alles Handarbeit, er benutzt keine Maschienen, weder für die Ernte noch fürs Pressen, auch die Abfüllung und verkorkung.. Weine werden in Eichenfässern ausgebaut mit BSA. Jean-Marc hat die Domaine 1997 nach langjährigem Familienstreit übernommen.",True,wine_01hcwsykn2x8wres2aw13ed3zj,RED,Chambolle-Musigny,Amiot-Servelle,58.816345
True,1067,RED,"Nuits-St.-Georges ""Les Charmottes""",Chicotot,,BOTTLE,2015,9900,3600,0,1067,Glas Preis: 16.0,True,wine_01hawwcxk5cpxc8c03yqzag2df,RED,Nuits-Saint-Georges 'Les Charmottes',Georges Chicotot,43.68091
True,1067,RED,"Nuits-St.-Georges ""Les Charmottes""",Chicotot,,BOTTLE,2018,9900,3600,3,1067,Glas Preis: 16.0,False,wine_01hawwcxk5cpxc8c03yqzag2df,RED,Nuits-Saint-Georges 'Les Charmottes',Georges Chicotot,43.6809
True,1068,RED,Nuits-St.-Georges 1er Cru Les Rues de Chaux,Chicotot,,BOTTLE,2021,17200,7800,6,1068,Glas Preis: 28.0,True,wine_01hawwcxjs1v9eedd0ntwczyva,RED,Nuits-Saint-Georges 1er Cru 'Les Rues de Chaux',Georges Chicotot,49.71447
True,1069,RED,Aloxe-Corton 1er Cru Les Vergots,Domaine Follin-Arbelet,,BOTTLE,2019,17100,7750,2,1069,,True,wine_01h0qsxnrj69bwr0pbzvy5znbp,RED,Les Vercots Aloxe-Corton 1er Cru,Domaine Follin-Arbelet,62.426777
True,107,WHITE,Weissburgunder Kristallberg,Elena Walch,,BOTTLE,2022,5800,1730,3,107,"Glas Preis: 9.0350m.ü.M, 1/3 in franz. EichenBarriques vergoren und dann Reifung für 5 Monate. Cuvee im Frühling",True,wine_01gzr4kt16xy22v7w3bkze66hd,WHITE,Pinot Bianco Kristallberg,Elena Walch,50.2414
True,1070,RED,"Pommard 1er Cru ""Grand Clos des Epenots""",De Courcel,,BOTTLE,2018,21800,9900,2,1070,Glas Preis: 36.0seit mehr als 400 Jahren im Familienbesitz.,True,wine_01h4pmmgp7wd8c8jftbsq83vee,RED,Pommard Premier Cru 'Grand Clos des Épenots',Domaine de Courcel,47.938347
True,1070,RED,"Pommard 1er Cru ""Grand Clos des Epenots""",De Courcel,,BOTTLE,2019,21800,9900,3,1070,Glas Preis: 36.0seit mehr als 400 Jahren im Familienbesitz.,False,wine_01h4pmmgp7wd8c8jftbsq83vee,RED,Pommard Premier Cru 'Grand Clos des Épenots',Domaine de Courcel,47.938335
True,1071,RED,"Volnay 1er Cru ""Fremiets""",Joseph Voillot,,BOTTLE,2022,15200,6900,6,1071,Glas Preis: 25.0,True,wine_01h4pmmftex6tafk9g2jav6nk0,RED,Volnay 1er Cru 'Les Fremiets',Domaine Joseph Voillot,46.94544
True,1072,RED,Vosne Romanée Les Souchots 1erCru,Jean-Marc Millot,,BOTTLE,2020,35200,16000,2,1072,Glas Preis: 58.0,True,wine_01h0qzm1azta8rcsyfg68prrzk,RED,Vosne-Romanée 1er Cru 'Les Suchots',Jean-Marc Millot,54.212353
True,1072,RED,Vosne Romanée Les Souchots 1erCru,Jean-Marc Millot,,BOTTLE,2021,35200,16000,1,1072,Glas Preis: 58.0,False,wine_01h0qzm1azta8rcsyfg68prrzk,RED,Vosne-Romanée 1er Cru 'Les Suchots',Jean-Marc Millot,54.212345
True,1073,RED,Terra 1261 Spätburgunder,Weingut Benedikt Baltes,,BOTTLE,2015,17500,0,0,1073,Glas Preis: 29.0,True,wine_01j52tf0ze8te34jt07156qmqn,RED,Spätburgunder Elegance Trocken,Altes Schlösschen,20.95635
True,1074,RED,Spätburgunder Silberberg,Mayer Näkel,,BOTTLE,2021,13600,6200,6,1074,Glas Preis: 22.0,True,wine_01j52tezbt1hf9gjtmaweav8v3,RED,Eterna Spätburgunder,Meyer - Näkel,36.20803
True,1075,RED,Spätburgunder Schlossberg GG,Franz Keller,,BOTTLE,2021,16000,7250,3,1075,"Glas Preis: 26.0in Barrique ausgebaut. Bauen den Wein BIO, teilweise Biodynamic an.",True,wine_01h0qzm1qkyhf8sb4tdnyme3r8,RED,Schlossberg Spätburgunder GG,Franz Keller,49.487087
True,1076,RED,Châteaux Petit-Figeac Grand Cru,,,BOTTLE,2018,16600,7550,2,1076,Glas Preis: 27.0BIO,True,wine_01gzr4ktnr0wsps41e5sa1awew,RED,Château Pavillon Figeac Saint-Émilion Grand Cru,Château La Grave Figeac,34.983253
True,1077,RED,Château Clinet Pomerol,Château Clinet,,BOTTLE,2008,14700,6700,1,1077,Glas Preis: 24.0Ausbau,True,wine_01h4pmmgkwm6e0qshsdgnb68b1,RED,Pomerol,Château Clinet,36.634937
True,1078,RED,Château Pichon-Longueville-Baron,Château Pichon Longueville,,BOTTLE,2012,19500,7650,2,1078,"Glas Preis: 32.0Mazeration mit Schale. Fermentation 3-4 Wochen, mit BSA. Barriqueausbau.",True,wine_01hcwsyk13a5kaes4nrhg5yb79,RED,Saint-Julien de Pichon Lalande,Château Pichon Longueville Comtesse de Lalande,35.602512
True,1079,RED,Château Pontet Canet,Château Pontet-Canet,,BOTTLE,2019,37200,16900,1,1079,"Glas Preis: 61.0Erster Jahrgang der Biodynamisch ist. Gärung natürlich, mazeration für 3-4 Wochen. Barrique ausgebaut, 1/3 in Amphoren.",True,wine_01gzr4ksd1fghmpgth14apkphe,RED,Les Hauts de Pontet-Canet Pauillac,Château Pontet-Canet,48.03372
True,1080,RED,Les Tourelles du Châteaux Pichon Longueville,Château Pichon Longueville Comtesse de Lalande,,BOTTLE,2019,12200,5550,2,1080,"Glas Preis: 20.0in Barrique ausgebaut. Bauen den Wein BIO, teilweise Biodynamic an.",True,wine_01gzr4ktnefc8kfs8ww0s0jbdw,RED,Les Gartieux de Pichon Lalande Pauillac,Château Pichon Longueville Comtesse de Lalande,59.307846
True,1081,RED,Chateaux Palmer Margaux,Château Palmer,,BOTTLE,2009,62300,28300,1,1081,Glas Preis: 103.0,True,wine_01gzr4ksd3j4sth04g4ym04ve0,RED,Alter Ego de Château Palmer,Chateau Palmer,36.537
True,1082,RED,Château Margaux 1er GCC,Château Margaux,,BOTTLE,2008,70200,31900,2,1082,Glas Preis: 116.0Barriqueausbau,True,wine_01gzr4ksd1akapybfvb7s0hpgb,RED,Margaux du Château Margaux,Château Margaux,40.64555
True,1083,RED,Château Mouton Rothschild GCC,Château Mounton Rothschild,,BOTTLE,2008,75200,34200,2,1083,Glas Preis: 125.0Barriqueausbau,True,wine_01gzr4ksd5qd759kgnhypwsa93,RED,Le Petit Mouton de Mouton Rothschild Pauillac,Château Mouton Rothschild,46.9256
True,1084,RED,Château Lafite Rothschild GCC ???,Château Lafite Rothschild,,BOTTLE,2008,143000,65000,1,1084,Glas Preis: 238.018-20 Monate in neuen Barrique,True,wine_01gzr4ksd1br0cs071rnre3t19,RED,Lafite-Chateau Merlot Bordeaux,Château Lafite Rothschild,50.085365
True,1085,RED,Angelus 1er GCC,,,BOTTLE,2009,69100,31400,1,1085,Glas Preis: 115.0,True,wine_01gzr4ksd3vpzegdrwyfnhpcea,RED,Tempo d'Angelus Bordeaux,Château Angelus,27.329556
True,1086,RED,Château Montrose 2eme Cru Classe,Château Montrose,,BOTTLE,2011,20200,9200,1,1086,Glas Preis: 33.0,True,wine_01h0my5re16cban67940ymvty4,RED,Saint-Estèphe (Grand Cru Classé),Château Montrose,38.31522
True,1089,RED,"Crozes-Hermitage Rouge ""Le Rouvre"" BIO",Yann Chave,,BOTTLE,2019,7500,2300,3,1089,Glas Preis: 12.0Rebalter,True,wine_01h0my5re2rnkggrmdtr15xcbz,RED,Le Rouvre Crozes-Hermitage,Yann Chave,53.598946
True,109,WHITE,Weissburgunder Strahler,Stroblhof,,BOTTLE,2022,4800,1250,3,109,"Glas Preis: 7.0400-500m.ü.M, Traubengemisch (2012 z.B. mit 4 % Pinot Grigio und Chardonnay), Gärung; 22 Tage im Edelstahltank & Eichenfässern, ohne BSA, Ausbau; 6 Monate 50% in Eichenhlzfässern auf der Hefe, 50% Edelstahlbehälter",True,wine_01h4pmmfh9zcbd142pyytvym8j,WHITE,Pinot Blanc Strahler,Stroblhof,38.72867
True,1090,RED,Hermitage BIO,Yann Chave,,BOTTLE,2018,13900,6300,6,1090,Glas Preis: 23.0Rebalter,True,wine_01hawwcymwbk2b2zv74pnbh11s,RED,Crozes-Hermitage,Yann Chave,36.7176
True,1091,RED,Côte-Rôtie,Terres Rôties,,BOTTLE,2010,9500,3450,3,1091,Glas Preis: 15.0Seit 3 Generationen der Familie Guigal.,False,wine_01hcwvb42h242qr1e9ct5ctwrb,RED,Terres Roties Cote Rotie,Terres Dorées,29.188631
True,1092,RED,"Châteauneuf du Pape"" La Crau 2010""",Le Vieux Télégraphe,,BOTTLE,2016,12000,4700,1,1092,Glas Preis: 20.0180-325m.ü.M.,True,wine_01gzr4ksd3g4zf63xdryt24twt,RED,Châteauneuf-du-Pape (La Crau),Domaine du Vieux Télégraphe,44.232628
True,1092,RED,"Châteauneuf du Pape"" La Crau 2010""",Le Vieux Télégraphe,,BOTTLE,2020,12000,4700,3,1092,Glas Preis: 20.0180-325m.ü.M.,False,wine_01gzr4ksd3g4zf63xdryt24twt,RED,Châteauneuf-du-Pape (La Crau),Domaine du Vieux Télégraphe,44.23262
True,1093,RED,Crozes-Hermitage,Domaine Combier,,BOTTLE,2010,5600,1680,3,1093,Glas Preis: 9.0seit 1980 BIO.,True,wine_01havwedsnhhfjh1b6w7nrr0d2,RED,Crozes-Hermitage Rouge,Combier,41.773994
True,1094,RED,"Crozes-Hermitage ""Clos des Grives""",Domaine Combier,,BOTTLE,2010,8100,2950,1,1094,Glas Preis: 13.0seit 1980 BIO.,True,wine_01havwedsnvtta45qjjq5fxy1m,RED,Clos des Grives Crozes-Hermitage Rouge,Combier,49.617275
True,1095,RED,Hermitage,Guigal,,BOTTLE,2013,11600,4200,0,1095,Glas Preis: 19.0,False,wine_01gzr4kt5xrqpdjpmgqmt8y79h,RED,Hermitage,E. Guigal,32.136158
True,1096,RED,Gigondas,Guigal,,BOTTLE,2003,6700,1700,0,1096,Glas Preis: 11.0,True,wine_01gzr4kt5xdt8a49vyrjw5thz0,RED,Gigondas,E. Guigal,32.784233
True,11,,Arunda Parlein Brut,Arunda Vivaldi,,BOTTLE,0,7000,2150,0,11,Glas Preis: 11.0,True,wine_01h0my5rqp244fgwmxwnpdrc4k,SPARKLING,Parlein Brut,Arunda,40.94426
True,1101,RED,St. Magdalener,Rottensteiner,,PICCOLO,2020,2100,420,2,1101,Glas Preis: 3.0400-500m.ü.M.,True,wine_01h0my5t3d2w67z95kr7aqrf2a,RED,St. Magdalener Classico,Rottensteiner,41.250984
True,1101,RED,St. Magdalener,Rottensteiner,,PICCOLO,2021,2100,420,1,1101,Glas Preis: 3.0400-500m.ü.M.,False,wine_01h0my5t3d2w67z95kr7aqrf2a,RED,St. Magdalener Classico,Rottensteiner,41.25098
True,1103,RED,Merlot,Alois Lageder,,PICCOLO,2020,2600,550,3,1103,Glas Preis: 4.0230-320m.ü.M. Rebalter,True,wine_01h0my5rfeyfpystcskzv1210c,RED,Merlot,Alois Lageder,40.420357
True,1104,RED,Lagrein Kellerei Tramin,Kellerei Tramin,,PICCOLO,2022,2400,490,4,1104,Glas Preis: 3.0250-400m.ü.M. Gärung,True,wine_01h0sq47xgsjwga0x64t8fsfjq,RED,Lagrein,Tramin,34.43282
True,1105,RED,Amistar,Peter Sölva & Söhne,,PICCOLO,2020,4100,1050,2,1105,Glas Preis: 6.010 % Trockenbeeren (am Stock getrocknet). Gärung,True,wine_01h0my5rh4696kz0ytbwtarqyc,RED,Amistar,Peter Sölva,45.31273
True,1106,RED,Cabernet Istrice,Elena Walch,,PICCOLO,2018,4200,1080,1,1106,Glas Preis: 7.0Gärung,True,wine_01gzr4kt16820wjbdg9fbdw024,RED,Cabernet Istrice,Elena Walch,52.03684
True,1106,RED,Cabernet Istrice,Elena Walch,,PICCOLO,2020,4200,1080,1,1106,Glas Preis: 7.0Gärung,False,wine_01gzr4kt16820wjbdg9fbdw024,RED,Cabernet Istrice,Elena Walch,52.036835
True,1106,RED,Cabernet Istrice,Elena Walch,,PICCOLO,2022,4200,1080,1,1106,Glas Preis: 7.0Gärung,False,wine_01gzr4kt16820wjbdg9fbdw024,RED,Cabernet Istrice,Elena Walch,52.036835
True,1110,RED,Barolo Sori Ginestra,Conterno Fantino,,PICCOLO,2011,8700,3150,1,1110,Glas Preis: 14.0Ausbau im Holz und Barrique.,True,wine_01gzr4ksjemm69xxhykex1zvn8,RED,Barolo Sorì Ginestra,Conterno Fantino,66.94101
